Name,Team,Position,Element,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,1st Move,2nd Move,3rd Move,4th Move
Mark Evans,Raimon,GK,Earth,191,184,72,72,70,77,68,69,79,God Hand,Grenade Shot,Majin The Hand,Triple Defence
Jack Wallside,Raimon,DF,Earth,206,165,62,68,62,66,49,54,54,The Wall,Super Armadillo,Mole Fake,Mega Quake
Jim Wraith,Raimon,DF,Wood,195,140,58,53,75,59,53,62,60,Coil Turn,About Face,Afterimage,Shadow Stitch
Bobby Shearer,Raimon,DF,Wood,202,176,76,61,72,76,60,72,72,Killer Slide,Blade Attack,Back Tornado,Hurricane Arrows
Tod Ironside,Raimon,DF,Fire,184,161,54,55,53,56,59,56,65,Rodeo Clown,Comet Shot,Monkey Turn,Run Ball Run
Nathan Swift,Raimon,DF,Wind,169,156,64,58,68,54,76,58,56,Flurry Dash,Quick Draw,Fire Rooster,Clone Faker
Steve Grim,Raimon,MF,Wind,154,144,62,64,71,64,71,71,71,Rolling Kick,Zigzag Spark,Cyclone,Freeze Shot
Tim Saunders,Raimon,MF,Wood,156,149,63,76,61,60,55,48,58,Whirlwind Twister,Kung Fu Header,Clone Faker,Clone Shot
Sam Kincaid,Raimon,MF,Fire,167,136,71,57,56,56,52,56,76,Grenade Shot,Bewildered,Fake Ball,Twin Boost
Jude Sharp,Raimon,MF,Wind,191,180,63,79,79,79,76,76,68,Spinning Cut,Illusion Ball,Twin Boost,Inazuma Break
Maxwell Carson,Raimon,FW,Wind,156,160,60,56,78,64,60,56,62,Quick Draw,Spiral Shot,Illusion Ball,Back Tornado
Kevin Dragonfly,Raimon,FW,Wood,195,144,71,60,59,61,60,64,70,Dragon Crash,Dragon Tornado,Zigzag Spark,Rolling Hell
Axel Blaze,Raimon,FW,Fire,200,176,79,66,76,64,72,68,60,Fire Tornado,Heat Tackle,Inazuma Drop,Quick Draw
William Glass,Raimon,FW,Wood,147,168,56,51,68,57,56,53,60,Defence Scan,Attack Scan,Divine Arrows,Rodeo Clown
Mask,Occult,GK,Wind,165,156,58,56,70,68,56,60,68,Killer Blade,Warp Space,Blade Attack,Whirlwind
Zombie,Occult,GK,Earth,200,156,47,46,50,40,51,74,56,Sumo Stomp,Doppelganger,Teleport Shot,Horn Train
Styx,Occult,DF,Wood,140,137,60,53,60,52,63,65,58,Ghost Pull,Teleport Shot,Black Magic,Phantom Shot
Franky,Occult,DF,Earth,151,156,55,59,47,70,52,61,48,Fireball Knuckle,Rocket Kobushi,Blazing Knuckle,Counter Strike
Undead,Occult,DF,Fire,187,132,52,58,56,61,56,79,53,Doppelganger,Phantom Shot,Black Magic,Shadow Stitch
Creepy,Occult,DF,Wind,151,152,52,54,57,57,60,54,63,Doppelganger,Magic,Ghost Pull,Fake Ball
Jiangshi,Occult,MF,Wind,145,136,55,62,60,52,56,61,62,Ghost Pull,Black Magic,Magic,Warp Space
Mummy,Occult,MF,Wood,187,137,54,52,60,52,62,75,61,Ghost Pull,Poison Fog,Spider Web,Warp Space
Grave,Occult,MF,Fire,180,144,57,65,60,52,71,56,55,Black Magic,Shadow Stitch,Phantom Shot,Whirlwind Cut
Wolfy,Occult,MF,Fire,211,153,61,70,77,52,79,69,67,Magic,Phantom Shot,Moonsault,Wild Claw
Ghost,Occult,MF,Wood,143,100,55,50,54,44,48,56,54,Ghost Pull,Rolling Hell,Horn Train,Warp Space
Blood,Occult,MF,Earth,184,152,68,52,52,51,56,62,60,Phantom Shot,Magic,Poison Fog,Rolling Hell
Dollman,Occult,FW,Wood,129,104,52,53,45,48,49,53,55,Phantom Shot,Black Magic,Doppelganger,Rocket Kobushi
Noir,Occult,FW,Wood,121,120,52,45,48,52,52,58,45,Black Magic,Psycho Shot,Doppelganger,Death Zone
Alien,Occult,FW,Wind,149,112,48,51,51,50,48,55,44,Comet Shot,Psycho Shot,Kung Fu Header,Ghost Pull
Talisman,Occult,FW,Wood,171,165,62,64,56,48,60,62,63,Teleport Shot,Phantom Shot,Freeze Shot,Whirlwind Cut
Boar,Wild,GK,Fire,217,100,68,44,44,69,60,62,69,Wild Claw,Earthquake,Blazing Knuckle,Super Armadillo
Bullford,Wild,GK,Fire,171,174,41,68,48,77,31,51,64,Horn Train,Toughness Block,Wild Claw,Sumo Stomp
Toad,Wild,DF,Wood,167,109,48,52,48,48,54,57,50,Killer Slide,Dash Accelerator,Fake Ball,Rolling Kick
Fishman,Wild,DF,Wood,167,113,52,64,51,51,51,62,51,Quick Draw,Spinning Cut,Rodeo Clown,Run Ball Run
Raccoon,Wild,DF,Wood,123,121,53,53,53,44,51,44,47,Super Armadillo,Grenade Shot,Horn Train,About Face
Lion,Wild,DF,Earth,195,113,78,52,47,64,55,69,68,Super Armadillo,Horn Train,Counter Strike,Run Ball Run
Monkey,Wild,MF,Wind,184,100,54,64,51,48,53,52,54,Monkey Turn,Tarzan Kick,Coil Turn,Moonsault
Chameleon,Wild,MF,Wind,176,101,44,45,45,55,53,60,48,Quick Draw,Afterimage,About Face,Teleport Shot
Mouseman,Wild,MF,Earth,158,112,42,50,52,44,79,54,45,Fake Ball,Bewildered,Teleport Shot,Afterimage
Koala,Wild,MF,Wood,132,112,52,45,53,51,48,46,49,Tarzan Kick,Monkey Turn,Run Ball Run,Illusion Ball
Chicken,Wild,MF,Fire,189,101,44,52,56,46,64,67,54,Dash Accelerator,Hawk Shot,Whirlwind Cut,Boost Glider
Eagle,Wild,MF,Wind,193,148,61,68,62,52,68,71,68,Condor Dive,Hawk Shot,Illusion Ball,Boost Glider
Panda,Wild,FW,Fire,123,132,52,51,48,52,52,51,46,Killer Slide,Rodeo Clown,Kung Fu Header,Breakthrough
Cheetah,Wild,FW,Wind,195,133,63,47,69,55,79,42,47,Tarzan Kick,Dash Accelerator,Dynamite Shot,Clone Shot
Gorilla,Wild,FW,Earth,191,108,78,66,49,64,54,52,67,Tarzan Kick,Super Armadillo,Bewildered,Utter Gutsiness Bat
Snake,Wild,FW,Wood,184,112,55,63,62,49,55,65,45,Snake Shot,Zigzag Spark,Cross Drive,Spider Web
Feldt,Brainwashing,GK,Wood,206,177,75,69,68,76,75,78,76,Shot Pocket,Rocket Kobushi,Blazing Knuckle,Defence Scan
Under,Brainwashing,GK,Wood,121,115,44,40,40,69,48,42,70,Attack Scan,Psycho Shot,Defence Scan,Back Tornado
Waters,Brainwashing,DF,Wood,151,101,52,48,51,52,45,54,45,Sumo Stomp,Defence Scan,Patriot Shot,The Wall
Good,Brainwashing,DF,Wood,134,117,44,44,48,55,44,48,45,Defence Scan,Attack Scan,Psycho Shot,Earthquake
Stronger,Brainwashing,DF,Fire,145,121,44,46,46,52,47,52,52,Defence Scan,Attack Scan,Psycho Shot,Kung Fu Header
Marvel,Brainwashing,DF,Earth,143,108,44,53,52,48,49,50,51,Defence Scan,Dynamite Shot,Attack Scan,Rolling Hell
Leading,Brainwashing,DF,Wind,140,112,52,52,44,47,50,52,48,Defence Scan,About Face,Attack Scan,Patriot Shot
Stiller,Brainwashing,MF,Wind,134,117,53,45,47,52,44,46,53,Attack Scan,Meteor Attack,Quick Draw,Freeze Shot
Oughtry,Brainwashing,MF,Earth,127,113,55,52,45,45,46,44,48,Psycho Shot,Flurry Dash,Defence Scan,Patriot Shot
Tell,Brainwashing,MF,Wood,145,109,44,53,48,46,45,44,47,Attack Scan,Psycho Shot,Defence Scan,Shadow Stitch
Rock,Brainwashing,MF,Fire,149,112,51,46,46,48,48,47,52,Breakthrough,Patriot Shot,Defence Scan,Reflect Buster
Kind,Brainwashing,MF,Wood,134,109,49,53,48,51,48,53,46,Defence Scan,Psycho Shot,Attack Scan,Twin Boost
Buster,Brainwashing,MF,Fire,125,113,55,46,52,49,48,50,49,Attack Scan,Dynamite Shot,Defence Scan,Reflect Buster
Mooney,Brainwashing,FW,Fire,138,101,53,49,54,50,55,53,46,Patriot Shot,Killer Slide,Breakthrough,Utter Gutsiness Bat
Seller,Brainwashing,FW,Wind,132,113,55,50,50,49,55,45,46,Psycho Shot,Attack Scan,Defence Scan,Fire Tornado
Turner,Brainwashing,FW,Fire,121,108,48,48,52,52,44,50,45,Patriot Shot,Attack Scan,Fire Tornado,Defence Scan
Idol,Otaku,GK,Earth,165,161,60,58,54,55,58,45,67,Sliding Goal,Pressure Punch,Toughness Block,Fireball Knuckle
Eldorado,Otaku,GK,Fire,158,144,49,63,61,69,43,28,49,Spinning Shot,Dragon Crash,Horn Train,Breakthrough
Train,Otaku,DF,Fire,149,152,61,60,53,56,52,41,54,Fake Ball,Psycho Shot,Zigzag Spark,Utter Gutsiness Bat
Vox,Otaku,DF,Wind,162,144,48,55,57,51,44,50,47,Fake Ball,Flurry Dash,Defence Scan,Cyclone
Cosplay,Otaku,DF,Earth,149,152,59,52,56,58,56,40,62,Utter Gutsiness Bat,Fake Ball,Earthquake,Sliding Goal
Formby,Otaku,DF,Earth,158,137,54,58,61,45,46,48,51,Doppelganger,Toughness Block,Spider Web,Rocket Kobushi
Net,Otaku,DF,Wood,143,141,44,62,54,48,44,51,49,Defence Scan,Black Magic,Heat Tackle,Cross Drive
Hero,Otaku,MF,Fire,158,132,62,62,61,55,56,50,71,Fake Ball,Breakthrough,Comet Shot,Dynamite Shot
Signalman,Otaku,MF,Wind,151,137,54,56,55,52,53,48,59,Bewildered,Coil Turn,Spinning Cut,Patriot Shot
Robot,Otaku,MF,Wind,167,137,60,60,52,58,54,41,66,Bewildered,Utter Gutsiness Bat,Coil Turn,Wrath Shot
Novel,Otaku,MF,Wood,154,164,60,55,56,58,61,44,61,Fake Ball,Utter Gutsiness Bat,Dash Accelerator,Bewildered
Online,Otaku,FW,Wood,158,133,54,56,56,62,55,44,60,Bewildered,Ghost Pull,Defence Scan,Attack Scan
Custom,Otaku,FW,Wind,171,152,58,62,52,61,54,47,59,Breakthrough,Bewildered,Cyclone,Freeze Shot
Gamer,Otaku,FW,Fire,173,137,58,60,59,52,55,45,69,Utter Gutsiness Bat,Bewildered,Fake Ball,Shine Drive
Artist,Otaku,FW,Wind,143,149,52,56,58,63,53,51,64,Bewildered,Utter Gutsiness Bat,Doppelganger,Blade Attack
Arcade,Otaku,FW,Wood,147,152,57,57,55,56,52,47,60,Comet Shot,Bewildered,Cross Drive,Utter Gutsiness Bat
Joe King,Royal Academy,GK,Fire,200,153,72,75,69,72,55,74,60,Power Shield,Full Power Shield,Hawk Shot,Spinning Cut
Bob Carlton,Royal Academy,GK,Wood,147,170,58,55,63,54,45,62,70,Earthquake,Dash Accelerator,Patriot Shot,Run Ball Run
Peter Drent,Royal Academy,DF,Earth,165,144,71,54,67,64,44,59,62,Illusion Ball,Earthquake,Reflect Buster,Mega Quake
Ben Simmons,Royal Academy,DF,Wood,191,169,68,63,72,60,69,70,69,Breakthrough,Cyclone,Illusion Ball,Cross Drive
Gus Martin,Royal Academy,DF,Wood,189,149,76,67,73,67,63,66,63,Killer Slide,Clone Faker,Defence Scan,Attack Scan
Alan Master,Royal Academy,MF,Wind,165,168,64,64,72,69,64,62,66,Killer Slide,Illusion Ball,Dynamite Shot,Spinning Cut
John Bloom,Royal Academy,MF,Fire,195,153,61,71,67,70,71,54,62,Killer Slide,Breakthrough,Wrath Shot,Freeze Shot
Derek Swing,Royal Academy,MF,Wind,171,184,70,56,76,59,69,60,61,Killer Slide,Clone Faker,Freeze Shot,Death Zone
Herman Waldon,Royal Academy,MF,Wind,189,188,76,64,72,79,70,57,69,Killer Slide,Breakthrough,Death Zone,Cyclone
Barry Potts,Royal Academy,MF,Wind,171,136,53,52,54,56,52,60,44,Killer Slide,Whirlwind Twister,Super Armadillo,Kung Fu Header
Cliff Tomlinson,Royal Academy,FW,Wind,149,157,53,60,52,61,54,52,53,Grenade Shot,Killer Slide,Breakthrough,Twin Boost
Steve Ingham,Royal Academy,FW,Earth,169,133,61,53,57,52,47,54,46,Teleport Shot,Ghost Pull,Hawk Shot,Comet Shot
Jim Lawrenson,Royal Academy,FW,Wind,167,137,54,57,57,63,53,56,55,Breakthrough,Spiral Shot,Wrath Shot,Hawk Shot
David Samford,Royal Academy,FW,Wood,193,193,70,60,78,66,66,67,71,Killer Slide,Clone Faker,Emperor Penguin No.2,Divine Arrows
Daniel Hatch,Royal Academy,FW,Wood,184,133,75,69,68,68,78,61,64,Killer Slide,Wrath Shot,Death Zone,Whirlwind Cut
Hood,Shuriken,GK,Wood,167,164,53,59,44,64,52,55,62,Whirlwind,Clone Faker,Clone Shot,Warp Space
Castle,Shuriken,GK,Wind,156,132,53,60,52,68,52,52,52,Coil Turn,Ghost Pull,Power Shield,Whirlwind
Bandit,Shuriken,DF,Fire,151,149,54,53,57,56,55,58,63,Sumo Stomp,Shadow Stitch,Fake Ball,Mole Fake
Crackshot,Shuriken,DF,Earth,169,129,62,61,56,60,55,60,63,Shadow Stitch,Clone Faker,Bewildered,Dirt Ball
Hopper,Shuriken,DF,Earth,145,136,52,58,62,62,55,61,54,Sumo Stomp,Condor Dive,Meteor Attack,Moonsault
Hillfort,Shuriken,DF,Wind,147,141,55,62,60,53,54,63,61,Afterimage,Spider Web,Shadow Stitch,Clone Shot
Thunder,Shuriken,DF,Earth,145,153,63,60,63,62,54,57,60,Sumo Stomp,Poison Fog,Shadow Stitch,Spider Web
Cleats,Shuriken,MF,Wind,176,140,56,61,53,56,69,68,59,Monkey Turn,Dirt Ball,Afterimage,Moonsault
Spook,Shuriken,MF,Wind,165,132,56,56,52,63,64,55,62,Doppelganger,Afterimage,Spider Web,Shadow Stitch
Trops,Shuriken,MF,Wood,145,144,58,61,69,55,59,57,54,Hawk Shot,Twin Boost,Harvest,Rolling Hell
Star,Shuriken,MF,Wind,156,133,53,63,59,56,47,65,60,Clone Faker,Phantom Shot,Doppelganger,Clone Shot
Hattori,Shuriken,MF,Wood,160,140,60,55,59,44,60,60,56,Afterimage,Clone Shot,Flurry Dash,Shadow Stitch
Code,Shuriken,MF,Earth,176,152,60,56,60,57,54,68,61,Spider Web,Afterimage,Whirlwind Cut,Hurricane Arrows
Samurai,Shuriken,FW,Wood,160,176,60,60,60,60,56,60,53,Clone Shot,Quick Draw,Shadow Stitch,Fire Rooster
Ronin,Shuriken,FW,Wind,171,137,62,56,56,53,60,54,57,Dynamite Shot,Flurry Dash,Clone Shot,Afterimage
Cloak,Shuriken,FW,Fire,180,180,52,61,61,54,60,68,55,Dirt Ball,Poison Fog,Afterimage,Fire Rooster
Greeny,Farm,GK,Fire,169,109,50,53,60,73,53,64,77,Wood Chopper,Mistral,Infinite Wall,About Face
Mower,Farm,GK,Earth,189,164,46,56,41,72,62,61,60,Killer Slide,About Face,Super Armadillo,Kung Fu Header
Sherman,Farm,DF,Fire,176,116,49,60,62,79,52,70,56,Harvest,Grenade Shot,About Face,Infinite Wall
Hillvalley,Farm,DF,Earth,187,108,40,56,52,79,63,66,53,Harvest,Rolling Hell,Sumo Stomp,Infinite Wall
Lively,Farm,DF,Wood,182,116,47,57,44,73,56,63,54,Sumo Stomp,Horn Train,Poison Fog,Harvest
Hayseed,Farm,DF,Earth,193,128,42,56,52,77,58,68,61,About Face,Kung Fu Header,Whirlwind Twister,Run Ball Run
Grower,Farm,DF,Earth,187,113,53,53,44,76,61,68,61,Mole Fake,Spinning Cut,About Face,Whirlwind Cut
Nevis,Farm,DF,Wind,195,120,52,56,51,70,59,64,53,Teleport Shot,Defence Scan,Tarzan Kick,Whirlwind Cut
Work,Farm,DF,Wood,171,109,44,57,54,70,54,65,60,About Face,Bamboo Pattern,Flurry Dash,Kung Fu Header
Howells,Farm,DF,Wind,171,117,48,62,54,75,54,60,56,Quick Draw,About Face,Monkey Turn,Cyclone
Milky,Farm,MF,Earth,178,100,40,54,54,68,56,63,56,Whirlwind Cut,Harvest,Spinning Cut,Killer Blade
Dawson,Farm,MF,Wind,187,108,57,55,56,75,64,66,76,Mole Fake,Run Ball Run,Coil Turn,Blade Attack
Spray,Farm,MF,Fire,169,125,71,70,46,72,62,66,71,Kung Fu Header,Whirlwind Cut,Wild Claw,Full Power Shield
Mother,Farm,MF,Wood,180,116,42,55,63,76,53,60,55,Mole Fake,Shine Drive,Killer Slide,Spinning Cut
Roast,Farm,MF,Earth,193,104,63,58,52,73,71,61,70,Run Ball Run,Whirlwind Twister,Mole Fake,Shine Drive
Muffs,Farm,FW,Wood,165,101,56,62,62,74,66,63,72,Shine Drive,Whirlwind Cut,Flurry Dash,About Face
John Neville,Kirkwood,GK,Fire,127,140,78,62,54,79,48,51,44,Toughness Block,Counter Strike,The Wall,Gigant Wall
Simon Calier,Kirkwood,GK,Wood,112,168,50,41,46,71,45,48,47,Dash Accelerator,Blade Attack,Moonsault,Run Ball Run
Malcom Night,Kirkwood,DF,Fire,209,180,63,76,68,78,67,64,70,Dash Accelerator,Wrath Shot,Spinning Cut,Cyclone
Ricky Clover,Kirkwood,DF,Earth,156,137,53,52,56,52,67,45,54,Coil Turn,Hurricane Arrows,Meteor Attack,Back Tornado
Alfred Meenan,Kirkwood,DF,Wood,169,149,61,55,55,60,55,53,52,Quick Draw,Hurricane Arrows,Moonsault,Illusion Ball
Dan Mirthful,Kirkwood,DF,Wood,165,129,59,70,49,65,46,51,52,Spinning Cut,Earthquake,Kung Fu Header,Shine Drive
Eren Middleton,Kirkwood,DF,Earth,140,112,48,44,55,47,55,54,52,Ghost Pull,Blade Attack,Illusion Ball,Utter Gutsiness Bat
Peter Wells,Kirkwood,DF,Wind,121,101,55,52,52,46,47,45,48,Killer Slide,Spinning Cut,Cyclone,Back Tornado
Zachary Moore,Kirkwood,MF,Wood,149,145,52,60,60,52,63,53,58,Hawk Shot,Illusion Ball,Twin Boost,Boost Glider
Toby Damian,Kirkwood,MF,Wind,173,133,54,56,55,56,57,56,55,Moonsault,Back Tornado,Quick Draw,Spinning Shot
York Nashmith,Kirkwood,MF,Wood,154,132,52,62,57,61,54,52,56,Boost Glider,Hawk Shot,Monkey Turn,Back Tornado
Brody Gloom,Kirkwood,MF,Earth,136,125,54,46,48,53,45,52,54,Dash Accelerator,Breakthrough,Ghost Pull,Warp Space
Victor Talis,Kirkwood,MF,Wood,145,177,55,52,52,46,47,45,48,Whirlwind Twister,Spinning Cut,Dynamite Shot,Hurricane Arrows
Tyler Murdock,Kirkwood,FW,Earth,167,157,79,64,68,56,60,59,54,Spinning Cut,Back Tornado,Breakthrough,Triangle Z
Thomas Murdock,Kirkwood,FW,Wind,180,152,68,70,65,60,64,62,61,Moonsault,Back Tornado,Killer Slide,Triangle Z
Marvin Murdock,Kirkwood,FW,Fire,195,161,68,61,61,66,60,60,61,Triangle Z,Illusion Ball,Grenade Shot,Boost Glider
Icarus,Zeus,GK,Wind,182,149,71,67,66,79,44,71,64,Hawk Shot,Whirlwind Twister,Spinning Cut,Heaven's Time
Apollo,Zeus,DF,Wood,136,144,79,79,62,73,53,48,55,Divine Stamp,Shine Drive,Magic,Dash Storm
Hephestus,Zeus,DF,Fire,171,156,60,64,78,69,70,64,62,Dash Storm,Psycho Shot,Fire Tornado,Fire Rooster
Ares,Zeus,DF,Earth,138,153,71,79,70,72,56,57,60,Divine Stamp,Ghost Pull,Breakthrough,Rolling Hell
Dionysus,Zeus,DF,Wind,136,124,62,68,66,79,50,53,64,Mega Quake,Zigzag Spark,Earthquake,Reflect Buster
Heracles,Zeus,DF,Fire,192,64,63,60,66,79,69,71,65,Sumo Stomp,Earthquake,Breakthrough,Mega Quake
Chronos,Zeus,DF,Wood,178,169,48,66,62,79,63,61,66,Heaven's Time,Kung Fu Header,Illusion Ball,Dash Accelerator
Artemis,Zeus,MF,Wind,127,184,62,66,76,67,44,45,58,Heaven's Time,Divine Arrows,Illusion Ball,Doppelganger
Medusa,Zeus,MF,Earth,173,152,69,78,79,67,63,62,62,Spider Web,Rolling Hell,Freeze Shot,Snake Shot
Hera,Zeus,MF,Fire,193,165,48,68,60,67,64,70,60,Divine Arrows,Reflect Buster,Killer Slide,Breakthrough
Hermes,Zeus,MF,Wood,162,180,56,69,69,68,57,62,62,Heaven's Time,Divine Stamp,Cyclone,Whirlwind
Athena,Zeus,FW,Wood,187,132,60,76,64,63,71,64,77,Dash Storm,Reflect Buster,Defence Scan,Attack Scan
Demeter,Zeus,FW,Fire,151,149,77,64,79,56,68,63,68,Reflect Buster,Dash Storm,Divine Arrows,Horn Train
Achilles,Zeus,FW,Earth,191,165,78,69,61,50,65,60,70,Black Magic,Blade Attack,Divine Stamp,Divine Arrows
Hairtown,Raimon Old Boys,DF,Wind,202,173,70,65,65,62,73,60,71,Spinning Cut,Fire Rooster,Kung Fu Header,Snake Shot
Steaky,Raimon Old Boys,DF,Earth,193,173,62,75,78,68,68,67,68,Zigzag Spark,Coil Turn,Horn Train,Killer Blade
MacHines,Raimon Old Boys,DF,Fire,213,173,68,68,75,71,76,68,73,Killer Slide,Breakthrough,About Face,Poison Fog
Foreman,Raimon Old Boys,MF,Earth,193,149,76,72,64,64,68,72,70,Whirlwind Twister,Dirt Ball,Mole Fake,Boost Glider
Butler,Raimon Old Boys,MF,Wood,215,184,72,71,69,70,74,69,78,Blade Attack,Defence Scan,Grenade Shot,Clone Faker
Nathaniel,Raimon Old Boys,MF,Wood,209,172,64,73,73,75,71,66,65,Zigzag Spark,Utter Gutsiness Bat,Blade Attack,Rocket Kobushi
Suffolk,Raimon Old Boys,MF,Fire,209,172,71,68,70,69,77,68,68,Zigzag Spark,Dynamite Shot,Breakthrough,About Face
Tailor,Raimon Old Boys,MF,Earth,200,197,73,72,76,76,79,72,70,Magic,Cross Drive,Shot Pocket,Illusion Ball
Gladstone,Raimon Old Boys,MF,Fire,187,177,68,66,68,60,72,63,69,Cross Drive,Spinning Cut,Twin Boost,Divine Stamp
Heart,Raimon Old Boys,FW,Wind,209,181,60,62,66,63,72,65,64,Blade Attack,Kung Fu Header,Clone Shot,Wood Chopper
Poe,Raimon Old Boys,FW,Wood,217,173,64,68,79,70,69,64,69,Blade Attack,Black Magic,Attack Scan,Shadow Stitch
Barista,Raimon Old Boys,FW,Wind,191,189,62,72,72,76,65,72,65,Phantom Shot,Inazuma Drop,Quick Draw,Divine Arrows
Builder,Raimon Old Boys,FW,Fire,195,173,69,69,64,60,63,77,64,The Wall,Fire Tornado,Heat Tackle,Fire Rooster
Yuma,Street Sally's,GK,Earth,129,80,44,44,43,56,49,46,45,Toughness Block,Wood Chopper,Blazing Knuckle,Sumo Stomp
Holmes,Street Sally's,GK,Wood,81,174,34,28,34,64,39,31,77,Grenade Shot,Dash Accelerator,Freeze Shot,Horn Train
Daltry,Street Sally's,DF,Wood,114,60,44,45,49,51,49,40,43,Coil Turn,Rodeo Clown,Mistral,Fake Ball
Lovely,Street Sally's,DF,Wind,138,85,49,44,44,44,44,51,44,Rodeo Clown,Whirlwind Twister,Illusion Ball,Dirt Ball
